DB,,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
Indicator,,Percent change in Emerging Markets Corporate Bond Total Return Index,Percent change in Europe/Middle East/Africa (EMEA) Corporate Bond Total Return Index,Percent change in IG Emerging Markets Corporate Bond Total Return Index,Emerging Markets Corporate Bond Index OAS,Emerging Markets Corporate Bond Total Return Index,Emerging Markets High Grade Corporate Bond Index Yield,Euro Emerging Markets Corporate Bond Index (Yield),Europe/Middle East/Africa (EMEA) Corporate Bond Total Return Index,Future Percent change in Emerging Markets Corporate Bond Total Return Index,Future Percent change in Europe/Middle East/Africa (EMEA) Corporate Bond Total Return Index,Future Percent change in IG Emerging Markets Corporate Bond Total Return Index,IG Emerging Markets Corporate Bond Total Return Index,Percent change in US B Corporate Bond Total Return Index,Percent change in US BB Bond Total Return Index,Percent change in US CCC Bond Total Return Index,Future Percent change in US B Corporate Bond Total Return Index,Future Percent change in US BB Bond Total Return Index,Future Percent change in US CCC Bond Total Return Index,US AA Bond Index Yield,US AA-rated Bond Index OAS,US AAA rated Bond Index (yield),US B Corporate Bond Total Return Index,US B rated Corporate Bond Index (yield),US B-rated Bond Index OAS,US BB Bond Total Return Index,US BBB Bond Index (yield),US CCC Bond Total Return Index,US CCC-rated Bond Index Yield,US Corporate Bond A rated Index (yield),US Corporate Bond Index Yield,US High Yield BB Corporate Bond Index Yield,US High Yield Corporate Bond Index (Yield),US High Yield Corporate Bond Index OAS,Percent change in US AA Rated Total Return Index,Percent change in US AAA Corporate Bond Total Return Index,Percent change in US Corporate BBB Total Return Index,Percent change in US Corporate Bond A Total Return Index,Future Percent change in US AA Rated Total Return Index,Future Percent change in US AAA Corporate Bond Total Return Index,Future Percent change in US Corporate BBB Total Return Index,Future Percent change in US Corporate Bond A Total Return Index,US AA Rated Total Return Index,US AAA Corporate Bond Total Return Index,US Corporate BBB Total Return Index,US Corporate Bond A Total Return Index,Percent change in US Corporate Bonds Total Return Index,Future Percent change in US Corporate Bonds Total Return Index,US Corporate Bonds Total Return Index
Date,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,100.0
1975-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,-4.745098039215689,102.0
1976-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.745098039215689,15.706051873198854,97.16
1977-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.706051873198854,18.80448318804483,112.42
1978-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.80448318804483,3.803533992213225,133.56
1979-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.803533992213225,0.33900750144260483,138.64
1980-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33900750144260483,-2.2068866364747475,139.11
1981-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2068866364747475,0.5366068803293284,136.04
1982-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5366068803293284,2.2958251078452774,136.77
1983-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2958251078452774,35.529983560860565,139.91
1984-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.529983560860565,9.32391097985445,189.62
1985-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.32391097985445,16.208393632416783,207.3
1986-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.208393632416783,25.354919053549196,240.9
1987-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.354919053549196,16.299092655142715,301.98
1988-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.299092655142715,1.8422551252847457,351.2
1989-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8422551252847457,9.757597785668347,357.67
1990-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.72157957718389,13.740534077321648,13.621858795372951,13.885566188197776,100.28,100.36,100.28,100.32,9.757597785668347,14.114680184425715,392.57
1991-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.72157957718389,13.740534077321648,13.621858795372951,13.885566188197776,8.672395650648895,8.05957074025404,5.4239073196419225,7.649890590809623,114.04,114.15,113.94,114.25,14.114680184425715,7.370864770748691,447.98
1992-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.672395650648895,8.05957074025404,5.4239073196419225,7.649890590809623,17.953683531025575,16.895014187271997,18.914418914418913,18.107163183998697,123.93,123.35,120.12,122.99,7.370864770748691,18.23908523908524,481.0
1993-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.953683531025575,16.895014187271997,18.914418914418913,18.107163183998697,8.640032836229302,8.467993619529793,10.158218986278348,9.052733030428202,146.18,144.19,142.84,145.26,18.23908523908524,9.118562410985882,568.73
1994-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.640032836229302,8.467993619529793,10.158218986278348,9.052733030428202,11.863232793904668,10.837595907928382,13.047346679377187,11.886875828546186,158.81,156.4,157.35,158.41,9.118562410985882,12.430106833819426,620.59
1995-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.863232793904668,10.837595907928382,13.047346679377187,11.886875828546186,-4.159864902898967,-3.132391116238827,-2.586013042500559,-3.27239900699617,177.65,173.35,177.88,177.24,12.430106833819426,-3.342267066057078,697.73
1996-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.159864902898967,-3.132391116238827,-2.586013042500559,-3.27239900699617,21.95465758252085,20.628870890900437,21.837488457987074,20.94610359309379,170.26,167.92,173.28,171.44,-3.342267066057078,21.55068875016682,674.41
1997-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.95465758252085,20.628870890900437,21.837488457987074,20.94610359309379,2.639183201695251,3.139810426540277,3.983516483516482,3.240897034000482,207.64,202.56,211.12,207.35,21.55068875016682,3.3900579444952688,819.75
1998-01-01,ML,,,,,,,,,,,,,,,,12.86,12.58,15.329999999999998,6.82,0.42,6.72,100.0,10.01,3.61,100.0,7.26,100.0,13.97,6.97,7.09,8.36,9.55,3.13,2.639183201695251,3.139810426540277,3.983516483516482,3.240897034000482,10.402590090090085,10.55427914991385,11.192092196966243,9.898631288830757,213.12,208.92,219.53,214.07,3.3900579444952688,10.386530429242288,847.54
1999-01-01,ML,,,,,,,,,,,,,12.86,12.58,15.329999999999998,1.8252702463228798,6.564220998401138,-6.303650394520069,6.35,0.51,6.3,112.86,9.45,3.47,112.58,6.8,115.33,13.07,6.51,6.56,7.5,8.85,2.96,10.402590090090085,10.55427914991385,11.192092196966243,9.898631288830757,9.537166900420768,9.802138805905535,7.0872593199508325,9.432117657060274,235.29,230.97,244.1,235.26,10.386530429242288,8.720886732152582,935.57
2000-01-01,ML,,,,9.08,100.0,8.48,11.37,100.0,14.700000000000003,40.81,6.040000000000006,100.0,1.8252702463228798,6.564220998401138,-6.303650394520069,3.0630003480682175,1.9504876219054792,1.480658893207472,5.67,0.74,5.6,114.92,10.79,5.89,119.97,6.7,108.06,18.03,5.97,6.15,8.07,10.53,5.66,9.537166900420768,9.802138805905535,7.0872593199508325,9.432117657060274,-2.13013618903504,-3.5526990260636486,-0.8301453710787908,-2.3577393668673503,257.73,253.61,261.4,257.45,8.720886732152582,-1.8866255063116857,1017.16
2001-01-01,ML,14.700000000000003,40.81,6.040000000000006,4.53,114.7,8.21,8.22,140.81,9.686137750653879,13.251899723031032,13.853262919652959,106.04,3.0630003480682175,1.9504876219054792,1.480658893207472,-7.700101317122597,2.2238574114953797,-17.41747218675907,7.35,0.83,7.29,118.44,11.1,4.52,122.31,8.1,109.66,20.43,7.54,7.7,9.32,11.34,4.76,-2.13013618903504,-3.5526990260636486,-0.8301453710787908,-2.3577393668673503,11.251189343482396,12.130008176614876,7.533850248813784,9.531386745166671,252.24,244.6,259.23,251.38,-1.8866255063116857,9.134543122538762,997.97
2002-01-01,ML,9.686137750653879,13.251899723031032,13.853262919652959,5.49,125.81,7.44,8.1,159.47,6.096494714251639,11.030287828431682,10.585604240868042,120.73,-7.700101317122597,2.2238574114953797,-17.41747218675907,0.8781558726674058,11.061345277133498,-0.938604240282695,6.59,1.3,6.3,109.32,14.79,9.6,125.03,7.97,90.56,29.09,7.15,7.31,9.91,14.36,9.16,11.251189343482396,12.130008176614876,7.533850248813784,9.531386745166671,10.701304254864219,9.410434972836986,10.482135170038752,10.98278492046198,280.62,274.27,278.76,275.34,9.134543122538762,10.703038204805663,1089.13
2003-01-01,ML,6.096494714251639,11.030287828431682,10.585604240868042,6.01,133.48,6.87,14.13,177.06,8.712915792628127,13.317519484920357,13.332334656580041,133.51,0.8781558726674058,11.061345277133498,-0.938604240282695,0.9339862169024313,-3.204666570646707,-6.1977483000780165,5.18,0.86,5.04,110.28,11.51,6.9,138.86,6.99,89.71,27.21,6.0,6.25,9.05,12.81,8.24,10.701304254864219,9.410434972836986,10.482135170038752,10.98278492046198,12.316111379365863,12.786590242601974,7.130333138515481,12.631716735388448,310.65,300.08,307.98,305.58,10.703038204805663,10.1700257112051,1205.7
2004-01-01,ML,8.712915792628127,13.317519484920357,13.332334656580041,5.22,145.11,5.58,9.14,200.64,14.5200192957067,15.600079744816595,7.170709140175795,151.31,0.9339862169024313,-3.204666570646707,-6.1977483000780165,26.00844488365824,19.447957741239502,60.98633392751039,3.73,0.81,4.23,111.31,11.24,8.18,134.41,6.0,84.15,22.0,4.5,5.08,9.24,11.93,8.9,12.316111379365863,12.786590242601974,7.130333138515481,12.631716735388448,4.4395402825943515,5.102673954793925,11.51421470570407,6.05787669242837,348.91,338.45,329.94,344.18,10.1700257112051,8.309744639845828,1328.32
2005-01-01,ML,14.5200192957067,15.600079744816595,7.170709140175795,2.38,166.18,4.94,5.41,231.94,9.140690817186183,10.343192204880577,6.579921065614218,162.16,26.00844488365824,19.447957741239502,60.98633392751039,10.437758448595478,9.330426658361873,15.752565143574227,3.61,0.48,4.04,140.26,7.47,3.88,160.55,4.92,135.47,11.64,4.13,4.45,6.05,7.69,4.18,4.4395402825943515,5.102673954793925,11.51421470570407,6.05787669242837,3.9571899012074687,4.526031710333961,6.210420460413657,4.963975563652304,364.4,355.72,367.93,365.03,8.309744639845828,5.414610412177651,1438.7
2006-01-01,ML,9.140690817186183,10.343192204880577,6.579921065614218,1.82,181.37,4.82,4.33,255.93,5.932623917957761,8.541398038526165,3.7319909737892654,172.83,10.437758448595478,9.330426658361873,15.752565143574227,3.7378954163976705,3.110579388138784,-0.5420572667559431,4.27,0.54,4.29,154.9,6.8,2.92,175.53,5.07,156.81,10.12,4.57,4.71,5.95,6.98,3.1,3.9571899012074687,4.526031710333961,6.210420460413657,4.963975563652304,2.341481442373688,2.6652681404980973,0.9877680536363207,2.6934620905650664,378.82,371.82,390.78,383.15,5.414610412177651,1.9721746010813717,1516.6
2007-01-01,ML,5.932623917957761,8.541398038526165,3.7319909737892654,1.66,192.13,5.37,4.37,277.79,6.136470098370891,5.817344036862366,4.345158411423467,179.28,3.7378954163976705,3.110579388138784,-0.5420572667559431,11.42572655423487,9.901099508260119,18.632982816106693,5.07,0.64,5.05,160.69,7.8,3.39,180.99,5.66,155.96,11.5,5.28,5.36,7.41,8.13,3.71,2.341481442373688,2.6652681404980973,0.9877680536363207,2.6934620905650664,4.281771518481267,4.463888088439464,4.558585039529701,4.272244389661205,387.69,381.73,394.64,393.47,1.9721746010813717,4.376305358516923,1546.51
2008-01-01,ML,6.136470098370891,5.817344036862366,4.345158411423467,1.55,203.92,5.66,5.16,293.95,3.3052177324441003,1.0648069399557734,4.698775859304015,187.07,11.42572655423487,9.901099508260119,18.632982816106693,3.07176766266406,2.1969735056055524,0.3675278348286555,5.38,0.61,5.34,179.05,7.59,2.86,198.91,5.98,185.02,10.0,5.6,5.68,6.7,7.63,2.89,4.281771518481267,4.463888088439464,4.558585039529701,4.272244389661205,5.0978258181008576,7.28991649321664,4.418001599495921,4.238568782295029,404.29,398.77,412.63,410.28,4.376305358516923,4.6431956585036485,1614.19
2009-01-01,ML,3.3052177324441003,1.0648069399557734,4.698775859304015,3.39,210.66,5.97,7.17,297.08,-18.052786480584828,-25.767470041739593,-7.551312161748197,195.86,3.07176766266406,2.1969735056055524,0.3675278348286555,-28.019506908696833,-19.19519874065329,-38.30371567043619,5.35,1.68,4.88,184.55,9.28,5.71,203.28,6.28,185.7,12.63,5.74,5.8,8.27,9.53,5.92,5.0978258181008576,7.28991649321664,4.418001599495921,4.238568782295029,-0.2918333725582378,4.707367240089764,-11.054634916214082,-7.594640727663856,424.9,427.84,430.86,427.67,4.6431956585036485,-6.817670530565854,1689.14
2010-01-01,ML,-18.052786480584828,-25.767470041739593,-7.551312161748197,12.83,172.63,10.19,15.25,220.53,39.112552858715176,53.171904049335694,21.72088142707241,181.07,-28.019506908696833,-19.19519874065329,-38.30371567043619,47.63625414031918,45.21490320224036,96.7879898751855,5.82,4.19,5.07,132.84,18.14,16.59,164.26,9.67,114.57,31.08,7.45,7.83,14.63,19.57,18.12,-0.2918333725582378,4.707367240089764,-11.054634916214082,-7.594640727663856,9.144125005900946,-0.6540470556721297,31.424992824152596,15.923985930818088,423.66,447.98,383.23,395.19,-6.817670530565854,19.76009860354007,1573.98
2011-01-01,ML,39.112552858715176,53.171904049335694,21.72088142707241,4.11,240.15,5.34,6.8,337.79,12.429731417863831,13.650492909796014,8.38929219600725,220.4,47.63625414031918,45.21490320224036,96.7879898751855,13.98633489700184,14.928939756005526,18.42455424465537,3.91,1.19,3.73,196.12,8.59,5.97,238.53,5.58,225.46,12.53,4.69,4.89,7.57,9.08,6.39,9.144125005900946,-0.6540470556721297,31.424992824152596,15.923985930818088,7.673010380622841,7.895742051454889,10.87837032919033,9.106784248668465,462.4,445.05,503.66,458.12,19.76009860354007,9.519893899204234,1885.0
2012-01-01,ML,12.429731417863831,13.650492909796014,8.38929219600725,3.39,270.0,4.55,5.45,383.9,4.103703703703697,2.4042719458192288,6.7227594290259125,238.89,13.98633489700184,14.928939756005526,18.42455424465537,4.647729814359197,6.117312322171168,-1.3970037453183588,3.18,1.1,2.9,223.55,7.68,5.46,274.14,4.72,267.0,10.66,3.93,4.09,6.37,7.6,5.41,7.673010380622841,7.895742051454889,10.87837032919033,9.106784248668465,6.250502129027076,9.110976904975127,8.124272540066254,7.388364276568504,497.88,480.19,558.45,499.84,9.519893899204234,7.508052992322412,2064.45
2013-01-01,ML,4.103703703703697,2.4042719458192288,6.7227594290259125,5.15,281.08,4.53,6.11,393.13,15.653906361178313,17.2411161702236,10.42557364189056,254.95,4.647729814359197,6.117312322171168,-1.3970037453183588,15.016670941266991,14.358392630023022,20.264367379496345,2.86,1.67,2.07,233.94,8.29,7.27,290.91,4.55,263.27,14.22,3.62,3.88,6.27,8.29,7.23,6.250502129027076,9.110976904975127,8.124272540066254,7.388364276568504,7.440453686200381,3.9737374508531382,11.975423139346153,9.819848352180644,529.0,523.94,603.82,536.77,7.508052992322412,10.36788393520918,2219.45
2014-01-01,ML,15.653906361178313,17.2411161702236,10.42557364189056,3.2,325.08,3.14,3.43,460.91,-0.9228497600590625,0.954633225575487,-1.1899264732000023,281.53,15.016670941266991,14.358392630023022,20.264367379496345,7.466458542386752,5.194180593964162,12.961910176236504,2.03,0.89,2.0,269.07,6.11,5.15,332.68,3.33,316.62,10.48,2.41,2.77,4.81,6.31,5.34,7.440453686200381,3.9737374508531382,11.975423139346153,9.819848352180644,-1.914279681891758,-4.269770174021586,-0.952479552748723,-1.8168555336907164,568.36,544.76,676.13,589.48,10.36788393520918,-1.4557716487858985,2449.56
2015-01-01,ML,-0.9228497600590625,0.954633225575487,-1.1899264732000023,3.31,322.08,3.96,3.37,465.31,3.5891703924490823,-1.5817412047882087,7.193184269178227,278.18,7.466458542386752,5.194180593964162,12.961910176236504,1.3245262138608327,5.337752886044122,-2.569479393837722,2.58,0.7,2.94,289.16,5.8,3.86,349.96,3.94,357.66,9.22,2.94,3.35,4.75,5.93,4.0,-1.914279681891758,-4.269770174021586,-0.952479552748723,-1.8168555336907164,7.063930544593528,9.428571428571422,7.700577879317286,7.367347996613506,557.48,521.5,669.69,578.77,-1.4557716487858985,7.513981523675383,2413.9
